回復
['烤鱸魚好吃、咖啡黑皮酒燉牛肉口味濃郁下飯，啤酒選擇很多，是個小酌的好地方。 ', '服務親切、介紹客人啤酒種類很專業，很歡喜店裡的氣氛 ', '香蕉的甜味配上起司真的很棒很特別！豬肋排飯海鮮飯也都很大份很好吃喔～ ']
['廚師直接現場切肉端上桌😀 服務很好 餐點也好吃 裝潢很美感覺來到城堡裡面👍🏻 ', '生日慶生，環境超優，很像電影場景，整體氣氛超讚，牛排和配菜也都很有特色，好吃！ ', '只有對外場服務感到印象深刻，主餐口味與擺盤不合個人喜好，肉品的溫度是很大的問題。 ']
['裝潢設計的很好！牛肉、豬肉雞肉的肉質都非常鮮美，服務人員很親切客氣！ ', '套餐還搭配了海鮮雙拼（兩隻大蝦及魷魚），蔬菜拼盤（馬鈴薯、香菇、節瓜）。 ', '包廂門不關 吃個飯 吵得整間店都他們的聲音 一間店搞的像熱炒店一樣 越吃越賭爛 ']
['鹽烤魚下巴、鹽烤鮭魚骨、牛排、自然豬、饗樂骨、松露野菇燉飯都好吃！柳橙汁不錯喝！ ', '冷盤、生鮮、熟食、碳烤、甜點、飲料等都菜色符合價位品質。 ', '推薦飲料和紅豆抹茶冰😂 餐廳氣氛不錯，多給一顆星～ ']
['關西壽喜燒好吃，肉嫩食材多樣式，服務ㄧ級棒又好聊(Jin👍)，有機會再來吃燒肉～ ', '桌邊服務給人感覺很放鬆 服務員親戚且專業的介紹肉品 和牛好吃 推薦Ting👍 ', '🥩烤肉菜色變化豐富、肉質也好吃，也不會有高級餐廳的緊張感，與客戶度過愉快的晚餐 ']
['裝潢古色古香氣氛佳，食材擺盤很用心，豆腐口感很特別，服務人員很棒。 ', '湯頭：四川麻辣，與豚骨。覺得寬巷子設計菜單和菜品真的非常專業和有特色。 ', '食物非常的好吃，餐廳的服務也很好，很適合帶外國旅客來嘗試台灣的火鍋👍 ']
['小菜美味無限續，鍋物湯頭好，豆腐滑嫩，泡菜鍋普通，牡蠣鍋新鮮美味，飯後甜點中上。 ', '韓式炸雞雷，辣年糕超讚，豆腐湯也棒。海鮮餅尚可，整體是可接受的 ', '人參雞湯好吃 小菜好吃 炸豆腐好吃 豆花不行、飲料沒有無糖選項，很甜很膩 ']
['推薦原味小籠包、菜肉雲吞豬骨湯、蘿蔔絲餅、馬蹄水 ', '花了480吃了一個難吃的割包，現場主管工作人員也完全在狀況外，不會再選擇此餐廳。 ', '好吃，服務很好，水煮魚 北京炒豆腐，蒜味拉麵，很讚 ']
['洋蔥圈份量超多，CP值超高，氣氛很好，服務生服務超好，態度很棒 ', '水牛城辣味雞胸堡有點鹹不辣 薯條、濃湯、玉米脆餅 好吃😋 服務人員讚讚👍🏻 ', '就是一個普通的美式餐廳，雞翅料理恰當，墨西哥捲餅口味好吃，漢堡就蠻普通的。 ']
['菜推紅酒洋蔥，甜點推薦起司水果塔，服務很棒，倒酒水的服務員很有氣質。 ', '新光分店偏向家庭氣氛 店內稍微吵雜 想吃牛肉還是很適合 日本A5和牛口感佳 ', '服務生可能生意好太忙，上菜時臉臭臭的，食物依舊不錯，但服務扣分，從五星減為四星。 ']
['蛤蜊湯 蒸蛋 必點 豬肉串 烤魚下巴 牛肉包番茄串 鮭魚肚壽司 鮑魚粥 好吃 ', '食材區分類清楚，食物料理高檔，新鮮，五星級飯店餐廳價位，靠窗位景觀佳，四星推薦。 ', '沙拉菜色豐富，生魚片種類繁多還有西式羊肋排炸物烤物甜點吃到飽到不行。。好吃 ']
['台北數一數二的燒肉店，一定要坐吧台讓專業的店員幫忙烤，肉質極佳cp值高 ', '東西好吃 食材新鮮 推薦和牛牛小排 和牛菲力 澎湖大草蝦 ', '這是我覺得全台灣CP值最高的燒肉店了！肉品 服務 氛圍 ']
['橄欖油蒜味辣椒海鮮細圓麵很好吃，栗子南瓜很喜歡，環境服務都不錯 ', '吃氣氛的，看夜景（天氣好才看得到） 所有窗邊位子可請服務人員換座位 餐點一般般 ', '菜色多樣，食材新鮮，景觀更是美，廁所還是用玻璃，邊上廁所邊享受風景🤣🤣🤣 ']
['是水牛乳酪沙拉、虎蝦烏魚子雞蛋麵、義大利餃雞湯、墨魚燉飯、提拉米蘇、卡諾里。 ', '環境氣氛不錯，半開放式包廂空間舒適，菜色還可以但CP值不高，比較適合來喝咖啡☕️ ', '地點超棒，停車方便，如旅館車位滿可停對面府前廣場地下停車場 ']
['用餐環境不錯，海鮮與生魚片料理蠻多，飲料咖啡有現做的👍甜點、冰淇淋樣式較少～ ', '取食動線過長，調酒沒有酒味，人型燒內餡少，蛋糕份量可以再小。食物新鮮，服務態度佳 ', '激推的單品：濃抹茶冰淇淋、抹茶生乳捲、炸蝦、炸胡麻豆腐、大蚵蛤湯、柚子蘿蔔片。 ']
['裝潢華麗，座位舒適，店員很親切熱情。食材還行，湯頭很快變鹹，沒有辣味和香味。 ', '服務人員專業，晚上坐靠窗的夜景很美，套餐肉質很棒，整體都很棒 ', '環境寬敞舒適，和牛涮麻辣和白鍋都好吃，雞肉豬肉和海鮮的品質也很不錯！ ']
['景觀不錯居高臨下生日聚餐好地方 海膽牛排暴怒蝦搭磨菇湯綜合果汁棒極了 ', '推薦乾式熟成帶骨肋眼以及巧克力蛋糕，以信義區夜景搭配美食，氣氛很讚！ ', '服務熱情溫暖，會認真介紹菜色，餐廳環境舒適景很美。 ']
['每桌都有專業的員工服務 👍。火鍋有特色， 餐點後有機器人送餐。 ', '1.豬肚湯底口感接近韓國的雪濃湯.湯裡有藥材.雞肉塊跟厚實的豬肚切片！ ', '鍋底部分牛油普普通通，酸菜好喝但意外的滿辣的，也有點油，但加拉麵道是真不錯！ ']
['餐點精緻好吃但性價比普通，座位空間舒適但服務員人數略少，上菜與服務略有不足。 ', '對幼兒很友善，幼兒無須點餐也有附贈白飯海苔和味噌湯，飯後甜點也有小朋友的份。 ', '各種日式套餐口味不錯，份量夠，用餐環境佳。推薦酥炸竹莢魚。 ']
['火鍋料的配菜不外乎就是，菜、豆腐、香菇、玉米、肉丸、番茄、南瓜...等等。 ', '景觀、餐廳氣氛很好～一上位服務人員馬上倒茶、上熱毛巾。介紹餐點也很仔細。 ', '包廂很舒適, 帶家人一起享用美食 桌邊服務很好, 海鮮新鮮 湯頭很棒 ']
['印度烤餅以及咖哩是一特色，甜點賣相不錯，水果與果汁種類不多。燒烤肉類一般水準。 ', '像是海鮮只有淡菜跟生魚片，不求有螃蟹，連蝦都沒，壽司只有花壽司類，沒生魚握壽司。 ', '今天吃的唯一推薦 牛排/羊排/松露飯/魚湯 HD冰淇淋/巧克力片 提供參考 ']
['食材部分，個人對獅子頭湯及部分肉品（如醃製檸檬豬）不是很滿意，口味有點過鹹。 ', '雙人牛肉套餐1980，牛肉普普通通，豬肉比較好吃，最喜歡凱撒沙拉，無酒精奶油啤酒 ', '一人平均消費2000，風景裝潢不錯，肉好吃，感受得到服務員太忙沒辦法照顧到每桌 ']
['咖哩雞、泰式炒河粉、酸辣公仔麵聽網友推薦的點這些，還不錯 ', '口味適合台灣人的泰國菜，酸辣剛剛好，甜品飲料(西米露，泰式奶茶)都非常棒 ', '超讚的open包廂！很適合家庭或朋友聚會～ 食物跟服務都很棒 👍 ']
['這算是我們家庭聚會點擊率很高的餐廳，必吃1號魚頭、孜然排骨、滷肉、泡菜粉絲牛肉😋 ', '餐點很棒 服務有待改善 飲料做錯連個道歉也沒有 而且還是現場主管 態度有些傲慢。 ', '上菜速度快，口味都很下飯，五人套餐五大兩小吃很撐，飲品好喝，甜點需要再加強 ']
['散壽司海鮮丼套餐是午餐限定的好選擇 料多實在 還附有飲料及甜點或冰淇淋 ', '料理新鮮美味，食材等級似乎較總店高一級，餐後有供美式咖啡，空間挑高舒適。 ', '氣氛棒、服務與餐點都一流，台北日本料理的翹楚 ']
['主餐好吃，沙拉吧的食材都很新鮮，補貨的速度也很快，服務、用餐氣氛跟景色都很棒。 ', '在誠品信義店六樓，新鮮的生菜沙拉吃到飽，牛肉品質很棒！ ', '龍蝦濃湯味道很濃郁，裡面還有些許蝦肉，沾湯配著麵包（還是算炸饅頭？）也非常適合！ ']
['菜單260元起就有套餐和丼飯。有沙拉、可樂餅、飲料、點心等可以單點。 ', '豬排餐點本身不錯 但外場服務該多加強 帶位跟收餐的速度慢 結帳時，錢還算錯.... ', '很適合和朋友同事家人，服務親切，口感略偏鹹些，整體不錯，地點佳，電梯口 ']
['用餐舒適，餐點CP值高。月亮蝦餅內餡蝦肉厚。咖啡雞的雞肉不是片狀。值得推薦。 ', '不推薦。菜色都沒到味，感覺像偏鹹的夜市熱炒店，建議要吃泰式料理還是選別家吧。 ', '辣海鮮清湯、綠咖喱嫩雞、南瓜咖哩牛腩、泰北豬肉鍋巴、月亮蝦餅。 ']
['辣椒螃蟹、燕麥蝦、摩卡排骨必點 服務人員很熱心介紹 用餐環境乾淨 很棒的體驗 ', '餐點品質不錯 桌菜set還蠻不錯的 建議有百貨禮卷的朋友們可以來這家用餐 ', '喜歡珍寶海鮮的美食，尤其是麥片蝦和馬來炒麵，甜點白果芋泥和清湯燉桃膠都很好吃。 ']
['推薦：涼拌酸辣海鮮、厚煎海鮮烘蛋、帕能咖哩燉松阪豬 服務也非常好👍 ', '這家的雲南椒麻雞很厲害，外皮酥脆，雞腿肉也很嫩。 ', '口味很棒、料理都很精緻，不過餐廳的桌子很小，兩人桌放4道菜就會太滿。 ']
['很實在阿 派送方式出餐 推薦炸雞腿 韓式炸雞 起士炸雞 海鮮沙拉比薩 ', '披薩種類多，炸物新鮮，價格實惠 很適合家長帶小孩來吃 建議加價搭配主餐 ', '薯條有馬鈴薯跟地瓜，這個要趁熱才好吃 6.飲料有汽水、咖啡機、果汁跟茶。 ']
['今日餐點推薦的就有流口水雞、黃金美人腿、泡椒皮蛋豆腐、夫妻肺片、梅汁二弄雞。 ', '湯品：連鍋湯，豬骨湯底很濃郁+上白蘿蔔，雖不錯喝但太鹹。 ', '川菜系列，口味只能說普普通通，老火鍋水煮牛的肉質不是太好。 ']
['飯前開胃菜種類繁多可無限續菜。海鮮豆腐湯推薦必點。雙人套餐CP值極佳。 ', '小菜免費續，有泡菜、南瓜泥、豆芽、韓國冬粉、海帶芽、小黃瓜、蔥、生菜沙拉。 ', '地點距離捷運站稍遠 餐點口味不錯、可免費續小菜 服務人員會代烤肉類，服務態度不錯 ']
['肋眼牛排很不錯，豬肋排偏鹹一點 麵包很好吃，飲料紅茶汽水可以續杯 花生無限量供應 ', '氣氛相當好的一間美式餐廳，餐點的肉質也很棒，定點服務生還會跳舞。 ', '份量大，食材用料不錯，適合親朋好友聚會的好地方 ']
['餐點道道驚艷！脆皮燒肉，鮮蝦腐皮捲，燒賣，用料紮實，口感豐富，值得推薦的餐廳！ ', '春捲 家鄉鹹水餃 乾炒牛河 北海道干貝燒賣 是必點菜色 !! 千萬別漏點了 ', '餐點和服務都很普通，點個餐限制東限制西，是怕客人吃嗎？CP值來說只給一顆星。 ']
['松露牛肝菌濃湯鹹鮮濃郁，飄浮湯上的吐司丁也不馬乎，剛好脆口襯托湯的口感。 ', '海鮮塔新鮮好吃，龍蝦算大隻 雙人套餐吃的很飽，從沙拉到甜點都不馬虎！ ', '是食材新鮮度、裝潢還是整體用餐環境氣氛都很好！ ']
['天氣好包廂就有不錯夜景。那鍋各種海鮮粉紅湯底的粥非常好吃。有免費茶沒有免費水 ', '覺得黑松露龍蝦金筍餃跟翡翠魚子賽螃蟹超推❤️ 甜點方面最愛金沙芝麻蛋塔😋 ', '這次的漫遊6國w餐點有鹹有甜頗美味，搭配的調酒也好喝，沙發舒適景觀美，非常推薦👍 ']
['服務人員介紹專業，出餐快速，料理美味，甜點的酒釀芝麻湯圓和芋泥香氣濃厚卻自然順口 ', '照樣點了蝦肉紅油抄手、排骨蛋炒飯、魚肉蒸餃、小籠包、牛肉麵⋯⋯⋯每個都好吃！ ', '東西好吃，服務好棒，只是要久等。（推薦私房菜單：陽春麵） ']
['裝潢美、氣氛佳，餐點口味也很棒，推薦干貝松露燉飯😊 ', '戰斧豬排 義大利麵類很好吃 燻鮭魚沙拉 牛舌 很適合年輕人聚餐的地方 ', '環境設計感很棒 東西好吃、啤酒甜點都很棒 吃完還可以去逛信義區！！ ']
['和永心鳳茶走不同路線的臺菜餐廳！炒飯偏普通，但推薦酸白菜炒牛肉那道還有軟殼蟹！！ ', '創意的台式餐酒館，老上海的復古裝潢很有質感，餐點精緻，擺盤也很美適合拍照。 ', '喜歡店裡的每一分細節的設計，包含餐具菜單等等，以及服務生的服務也很周到專業。 ']
['很棒的美食享受丶環境怡人放鬆丶服務親切丶咖啡甜點都有中上的水準 ', '後面的鯛魚湯很鮮甜可以加湯，魚片很嫩用清湯煮完全考驗魚的新鮮度！ ', '無敵風景、氣氛佳、食材新鮮，師傅的料理技術也是了得。 ']
['來橘色推薦他們的🦀️海鮮套餐，最後湯頭煮粥很棒！照顧吧台區的服務人員服務很👍 ', '點了美國沙朗與小牛排份量都是200g，肉質鮮甜不蘸醬就能感受到食材的新鮮。 ', '3.綜合菜盤：甜不辣、魚板、豆腐、蒟蒻、香菇、蔬菜、玉米等。 ']
['食材的料理和人員的服務都很專業，也很有特色!! 而且每道菜都很精緻~~~ ', '甜點部分，巧克力塔實在是太好吃了，蘋果造型的摩斯尚可。 ', '很棒的場地跟餐點，包廂環境很棒，服務人員很專業 ']
['海鮮台式創意義大利麵很鹹香，手工pizza餅皮口感超Q不厚重，份量適合多人分享 ', '生牛肉前菜、墨西哥辣肉醬牛肉披薩很美味，五花鼻管麵無敵肥膩，廁所太少。 ', '秘製香料經典炭烤豬肋排（438元）肉有保持嫩的口感，生菜沙拉有些沒有淋到醬汁。 ']
['雞肉沙拉、北海道干貝蝦膏起司燉飯，味道和食材新鮮度都很不錯。店員也非常親切周到。 ', '服務超貼心nice,餐點好好吃😋招待慶生甜點蛋糕很大器喔！環境更不用說了美呆了 ', '又追加了台灣南波萬黃金地瓜，要結帳時還被招待了青檸檬薄荷奶油起司派。 ']
['蘋果雞炸的有點乾，會刮嘴巴，氣氛很適合朋友聚會。麵包的口感很棒，薯條味道有點複雜 ', '自私漢堡獨享飽， 藍紋起司燻辣椒， 魷魚蔥圈地瓜條， 芒果啤酒暑氣消。 ', '有時候會有創意限定口味的美式漢堡餐廳， 整體尚可， 希望可以加賣花生醬牛肉漢堡！ ']
['在统一時代百貨三樓的餐廳. 較適合年輕上班族用餐的地方 食材、口味、份量都不錯. ', '★：泰舒芙，甜醬雞米花，松露酥炸雞翅，草莓大理石優格飲，香辣蟹肉櫛瓜麵。 ', '用餐環境也很明亮舒服～ 綠咖哩牛腩飯很好吃，牛肉搭配附上的辣椒魚露更加分！！ ']
['肋排大推比牛排好吃太多了！另外推薦泰式雞肉麵和鮮蝦義大利麵😋 ', '親切的服務 滿意的用餐環境 可以先打電話訂位避免現場久候 「樓下有收費停車塲」 ', '這間分店環境更舒適,戶外也常有一些活動與漂亮照相區,很適合愛拍照與有小孩家庭 ']
['景觀美氣氛佳，牛排羊排超好吃！服務人員親切，優質服務是個可以放鬆享受美食的地方。 ', '#杏仁甜酒雪糕 我最喜歡的甜點，介於冰淇淋跟蛋糕中間的口感超棒！ ', '餐廳氣氛佳、靠窗位置夜景好。套餐口味清新淡雅。杏仁明蝦、茄子千層好吃。 ']
['加90就可以升級套餐，有起士麵包、主廚湯、冷飲、甜點（冰淇淋或奶酪）。 ', '還有一道特色菜，瓜地馬拉風味的鮮蝦沙拉，酸中帶辣，配上超大鮮蝦，絕對必點的啦。 ', '餐點品質優良、服務親切周到 用餐環境舒適氣氛良好、廁所整潔 值得推薦！ ']
['份量還算足夠，菜色普普，螃蟹米糕的蟹肉沒有很新鮮，蔥油雞不推。 ', '家人聚餐的好地方 生意很好 潤餅捲 魯大腸 藍斑魚 菜埔蛋等台灣小吃都好吃 ', '這裡的菜的份量偏少，建議點餐道數是人數+2道，再點麵、飯或米粉等主食。 ']
['烤鴨三吃食材料理很棒，用餐環境優雅服務好，可鳥瞰台北市夜景 ', '參加婚宴，場地動線清楚不易走錯 菜色好吃不油，份量剛好 視野佳 ', '脆皮叉燒、叉燒包很好吃 金沙魚皮、炒飯、腸粉就比較普通 ']
['拼盤好吃、德國香腸披薩與燉飯、溫生菜沙拉都很好吃，還有最喜歡蜂蜜啤酒了！ ', '餐點沒特色，服務經典地差，第一次遇到服務人員拿著菜無表情等客人移盤子的店... ', '商業午餐180$ 番茄海鮮義大利麵+湯品 當日的巧達濃湯料很多很好喝 ']
['氣氛好、餐點精緻 推薦蔥油扮麵、燻魚和崧子雞米配叉子燒餅 生煎包略乾硬 ', '香四溢 創意擺盤 薏仁水 有冷熱兩款 健康飲品 桂花酒釀芝麻湯圓 清爽有味 ', '菜色多，料理好，氣氛佳，茶很香，不失為米其林美食，唯員工教育訓練還要加強 ']
['好吃 餐點又很豐富 鮭魚水果沙拉擺盤漂亮水果超多 鬆餅酥脆肉桂味很足，真的推薦 ', '店內裝潢的不錯有氣氛！用餐環境都算是乾淨， 青醬海鮮義大利麵，裡面的蛤蜊很大喔！ ', '法國吐司、地瓜醬、鮮奶茶很棒，室外座位也很舒服。 ']
['餐點好吃。台式炸雞腿燉飯真好吃，附餐可加湯、飲料和點心。 ', '套餐便宜份量大吃得飽 玉米濃湯料多甜甜的 炸物有很多醬料可以選 性價比高 ', '主打料理是義大利麵，每位且CP值高，紅茶也很有古早味，值得推薦。 ']
['沙拉，豬肋排與漢堡維持一定的水平,推薦於週間用餐，環境非常舒適，服務親切 ', '推）特調瑪格麗特（含酒）-杯沿的海鹽搭配微酸檸檬汁，酸甜鹹的滋味跟海鮮很對味。 ', '上錯菜，點錯菜，未給水，少上飲料 餐點普普 要收服務費員工訓練再加強吧 ']
['漢堡很好吃裡面肉很嫩不會很乾，薯條有不同口味可以選擇，蒜味跟蜂蜜芥末的好吃😋 ', '地點隱密裝潢設計簡約，店內座位約40位，用餐建議先電話詢問或提早預約。 ', '烤雞腿排/芝麻菜/番茄/切達起司/洋蔥/特製紅椒醬 雞腿排的份量超大又厚又多汁！ ']
['即使隱身在巷弄中 深具特色的裝潢很難讓人不多看兩眼 推薦起司雞肉煎餅與燉飯料理 ', '炸物拼盤好吃 義大利麵調味濃郁 松阪豬沙拉的豬肉非常軟嫩 起司甜點也非常夠味😋 ', '氣氛很好，可以盡情開聊也不用擔心吵到隔壁桌，啤酒好喝，主餐的蕃茄麵也很好吃喔！ ']
['咖哩醬給的份量非常多，套餐的魚也不錯。每人有5選2的小菜或飯增量的選擇。 ', '以為是從日本來的咖哩店，咖哩味道有點類似印度改良的日式口感 ', '推薦炸豬排，外酥內嫩，唐揚雞稍乾，咖喱口味不錯，白飯有點太濕軟。可以免費加醬 ']
['整體氣氛愉快 食材新鮮，服務非常好 服務生小洋蔥先生服務親切，手法專業 ', '完成不用動手，店員桌邊服務 蔥鹽加分，海鮮新鮮，水果酒好喝，沒什麼油煙味 ', '的品質都在中上，餐點量cp值非常高，建議點套餐會比較划算，值得下一次再回到店裡吃 ']
['海南雞飯價格不便宜，口感尚可，雞肉量與菜單圖片有落差。湯普普。中間醬料很道地。 ', '餐點好吃，份量有點少～ 咖哩雞偏台式沒有特色，最期待的榴蓮蛋糕也差強人意。 ', '價位中等、口味不錯、海鮮粿條有鍋氣、好吃👍、店員動作迅速語氣溫和！ ']
['價位中高，服務好，鹽焗台灣鯛肉質普通，蔭蚵下飯，麻油松阪豬很香，適合家族聚餐。 ', '菜色不錯，口味鹹淡適中，服務人員很勤來倒水及清桌，推薦~ ', '餐點很美味，就是高級的快炒店，服務員會來提醒小孩吃飯進度，態度貼心，感受很棒 ']
['肉質棒，醬汁也很搭，小菜好吃（蘿蔔、泡菜、黃金海帶芽），吃完不沾油煙味👍👍👍👍👍 ', '份量偏少，飯使用微波加熱口感不佳，餐點口味沒問題但容易膩 ', '防疫餐 牛肉不錯👍 豬五花不錯👍 其他梅花豬肉片的 有腥味整盤丟掉👎 ']
['咖哩醬濃厚且烤餅多種口味，交通上離捷運站有段距離，建議搭乘公車較為適宜。 ', '雙人套餐中只喜歡米布丁，香料奶茶個人不愛，肉桂+姜味奶茶的感覺。 ', '道地的印度料理，咖哩著實味美，烤餅米飯香，烤雞則比台灣烤肉少了滋味。 ']
['餐飲pizza、飯都美味好吃，甜點炸蘋果也不錯，來點調酒或泰式奶茶搭配喝，更棒。 ', '東西好吃沒話說，若是川味丸子套餐的配菜能更特別點、漢堡類能夠單點就很完美了 ', '餐點好吃 泡菜臭豆腐披薩口味特殊，餅皮軟Q 可以再訪 ']
['義大利麵有天婦羅！創意好吃的素食義式料理，裝潢環境餐點都非常棒！ ', '漢堡套餐的薯條屬於外酥內綿的口感，小沙拉的水果杯配上甜甜的醬汁洽到了好處。 ', '海鮮燉飯色香味俱全 餐廳氣氛佳 服務親切 是適合聚會聊天的好地方 ']
['氣氛舒服，戶外區天氣好時很推薦，食物口味偏台式，酒類種類非常多，整體價位偏高 ', '點了椒麻豬腳，軟殼蟹，海鮮意大利麵，炒泡麵，牛排（忘了名稱），每道菜都很好吃！ ', '餐點好吃，專業的介紹酒品，環境優美 三五好友小酌的好地方👍 ']
['服務很棒，用餐環境不錯，食材很新鮮！海鮮與肉品都讓人感受到選材的用心，值得推薦！ ', '服務態度良好，肉質極佳，海鮮新鮮，尤其是花枝丸. 氣氛適合家庭或情侶聚會. ', '海鮮新鮮好吃，服務生親切 蝦子、螃蟹、蛤蜊都會幫忙撥好 甜點和結尾的粥也不錯吃 ']
[]
['餐點都不錯，雞肉咖哩薄餅等都很棒，甜點點了香料冰淇淋，味道很特別，值得一試。 ', '眺望台北101鑽石地毯夜景 微醺浪漫的氣氛 搭上華麗的異國印度料理 完美｡ ', '餐廳無提供牛肉及豬肉，也無包廂，只分沙發區及座位區，用餐時間為120分鐘。 ']
['裝潢美、燈光佳、氣氛好，帶著女朋友去最合適，我去都點客家菜畢竟這種機會難得。 ', '空間與佈置很有現代藝術中國風感 餐點與調酒也很用心在準備 很適合聚會 ', '建議想看表演的朋友們，可以做舞台前面的位置， 也一定要先訂位喔！位子不太好訂。 ']
['吃了包含日本本店及台灣部分分店，最喜歡A8的用餐環境！空間舒適，服務用心，五星！ ', '食材品質：五星，很新鮮 飲品茶水：四星，黑豆水免費提供。 ', '沒有真的進該服務生口袋，台灣的玩法真的很棒。沒給一顆星是該店食物味道跟國外一樣。 ']
['下雨天沒機會坐室外..以坐室內吃下午茶來說..餐點及環境讓人覺得Cp值普普 ', '亞洲料理 食材新鮮 景色非常棒 看著全台北市、 適合跟朋友來吃飯喝酒的地方！！ ', '手工自製雞肉丸：雞肉丸很紮實有彈性，台東芋頭冬瓜芋頭香氣十足，淋上鰹魚高湯。 ']
['好吃的燒烤，小菜泡菜很好吃，服務生Chris服務👍 會細心介紹及建議餐點 ', '年糕湯偏淡、海鮮煎餅料多但粉太厚、海鮮辣炒麵是泡麵體（？！） ', '（龍蝦、烤牛舌、牛肉們，石鍋拌飯、飲料⋯都棒❤️） ']
['月亮蝦餅、綠咖哩雞、椒麻雞、檸檬清蒸魚、香茅松阪豬、沙嗲豬肉串都好吃！推！ ', '份量足，味道也很地道，不是地雷的好吃泰國菜，推薦涼拌海鮮泡麵。 ', '五顆星給餐點 非常好吃的泰式料理 信義區巷弄裡 CP值很高的餐廳 ']
['快，店員服務親切 📍明太子鮮貝烏龍拌麵 119元 📍炙奶油起司烏龍湯麵 139元 ', '肉 份量真的很有誠意 小菜也都很讚 非常適合下酒 而且店家對寵物也很友善 讚讚讚 ', '可樂餅咖哩內餡，中規中矩。雞白湯免費不錯喝，在飲料桶中差點找不到。 ']
['鳳梨炒飯很特別 菜色好吃擺盤精美 員工服務態度佳且出菜品質優良 推推 ', '氣氛相當好，用餐環境優美，一家餐廳可以一次滿足泰國料理和台式料理，很推薦 ', '綠咖哩雞肉，辣咖哩牛肉（筋），清蒸鱸魚，月亮蝦餅，都超水準。 ']
['蛋白口感，不甜，搭配抹茶冰淇淋，醬汁, 與奶茶和咖啡 覺得很棒。 ', '主食義大利麵和咖喱飯份量很少，女生也吃不飽的量，只能當做點心。 ', '栗子舒芙蕾套餐的伯爵戚風蛋糕體很乾，要靠上面的卡士達奶油才有辦法入口。 ']
